Time,U0,U1,U2,U3,L0,L1,L2,L3,L4,U2L2,U0L1,U0L2,U0L4,U1L3,U1L1,U2L1,U2L3,U3L1,U3L2
0.30039999999999994,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.3006000000000001,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.30080000000000007,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.3010000000000001,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.3012000000000001,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.30140000000000006,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.30160000000000003,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.3018,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.30200000000000005,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.3022,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.3024,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.30260000000000004,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.3028,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
0.303,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.5,827.1,643.1,1204.7,842.3,0.0,51.3,387.2,361.2
